stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
2317,鴻海,A 主流形成中,85.38,100.0,98.1,75.5,81.1,98.1,96.2,75.5,34.0,3,98,9.0,9.0,0.7,20,4.75,5.12,0.006461,0.006003,1,1.5725,15.6,31.66,16.75,289.0,83453.0,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +0.7 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2454,聯發科,A 主流形成中,81.04,98.1,67.9,86.8,81.1,75.5,88.7,94.3,98.1,2,99,1.0,1.0,1.6,20,3.34,2.74,0.09635,0.087173,1,116.869,11.66,65.13,50.22,4310.0,95750.5,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +1.6 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2382,廣達,C 過熱或排除,80.57,96.2,96.2,81.1,81.1,90.6,94.3,30.2,41.5,8,93,7.0,7.0,1.1,20,3.99,4.48,0.007578,0.007672,0,2.57,7.28,8.48,-6.44,339.0,29547.6,相對強弱未轉強（弱於大盤）
2376,技嘉,A 主流形成中,79.29,94.3,84.0,84.9,58.5,84.9,90.6,81.1,52.8,24,77,4.0,4.0,1.3,18,3.72,3.34,0.008271,0.007611,1,4.5525,14.73,35.53,20.62,370.0,12348.0,主流評分排前 6%（全市場 PR） | 近 5 日名次推進速度 +1.3 > 0（資金推升中） | 近 20 日上榜 18 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3711,日月光投控,A 主流形成中,75.94,92.5,67.9,75.5,81.1,83.0,83.0,73.6,71.7,9,92,1.0,1.0,0.7,20,2.54,3.25,0.013659,0.013092,1,15.825,8.91,27.82,12.91,611.0,26757.7,主流評分排前 8%（全市場 PR） | 近 5 日名次推進速度 +0.7 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2383,台光電,C 過熱或排除,75.61,90.6,89.6,83.0,81.1,67.9,50.9,41.5,100.0,13,88,5.0,5.0,1.2,20,1.6,1.91,0.114457,0.116559,0,163.2,2.3,12.65,-2.26,5120.0,18114.7,相對強弱未轉強（弱於大盤）
2885,元大金,C 過熱或排除,75.0,88.7,100.0,93.4,9.4,100.0,92.5,45.3,22.6,32,69,13.0,13.0,2.3,5,3.96,6.25,0.001332,0.001336,0,0.8295,8.17,14.18,-0.74,59.6,5397.4,相對強弱未轉強（弱於大盤）
2881,富邦金,A 主流形成中,74.95,86.8,76.4,93.4,43.4,94.3,98.1,64.2,5.7,18,83,2.0,2.0,2.3,14,5.2,4.6,0.002459,0.002327,1,0.0965,15.67,22.22,7.31,110.0,15285.4,主流評分排前 13%（全市場 PR） | 近 5 日名次推進速度 +2.3 > 0（資金推升中） | 近 20 日上榜 14 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2891,中信金,A 主流形成中,74.39,84.9,89.6,96.2,37.7,88.7,79.2,50.9,15.1,27,74,5.0,5.0,2.6,13,2.51,3.71,0.001352,0.00134,1,0.3925,5.03,15.68,0.76,60.5,6867.7,主流評分排前 15%（全市場 PR） | 近 5 日名次推進速度 +2.6 > 0（資金推升中） | 近 20 日上榜 13 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3017,奇鋐,C 過熱或排除,74.34,83.0,94.3,75.5,81.1,77.4,67.9,7.5,86.8,10,91,6.0,6.0,0.7,20,2.07,2.89,0.059576,0.060805,0,52.75,4.72,-6.0,-20.91,2665.0,24601.3,相對強弱未轉強（弱於大盤）
1303,南亞,C 過熱或排除,73.07,81.1,76.4,98.1,81.1,71.7,64.2,34.0,32.1,21,80,2.0,2.0,2.9,20,2.0,2.46,0.002193,0.002117,0,1.505,13.15,9.49,-5.43,98.1,14555.8,相對強弱未轉強（弱於大盤）
6669,緯穎,B 觀察中,72.69,79.2,89.6,62.3,81.1,66.0,62.3,52.8,84.9,14,87,5.0,5.0,0.2,20,1.99,1.78,0.121722,0.124096,1,48.425,-1.45,16.47,1.55,5445.0,17831.7,主流評分排前 21%（未完全達 A 級條件）
2308,台達電,C 過熱或排除,70.94,77.4,67.9,66.0,81.1,86.8,66.0,43.4,92.5,6,95,1.0,1.0,0.3,20,2.05,3.35,0.054658,0.052272,0,61.665,16.71,12.93,-1.98,2445.0,41937.4,相對強弱未轉強（弱於大盤）
2356,英業達,B 觀察中,69.62,75.5,84.0,54.7,25.5,92.5,100.0,90.6,18.9,17,84,4.0,4.0,0.1,9,7.44,4.59,0.001569,0.001299,1,0.7085,17.98,52.94,38.03,70.2,15467.1,主流評分排前 24%（未完全達 A 級條件）
2303,聯電,C 過熱或排除,69.48,73.6,57.5,54.7,81.1,73.6,86.8,100.0,45.3,4,97,0.0,0.0,0.1,20,3.14,2.46,0.00323,0.002624,1,3.2333,26.75,86.93,72.02,144.5,52265.2,近 5 日漲幅 26.8% > 25% — 漲過頭
2330,台積電,C 過熱或排除,68.35,71.7,57.5,54.7,81.1,96.2,84.9,37.7,83.0,1,100,0.0,0.0,0.1,20,2.82,4.62,0.052646,0.054002,0,39.7431,4.43,10.3,-4.61,2355.0,210532.4,相對強弱未轉強（弱於大盤）
2345,智邦,C 過熱或排除,61.13,69.8,39.6,89.6,81.1,60.4,49.1,24.5,94.3,19,82,-2.0,-2.0,2.0,20,1.58,1.41,0.054322,0.059637,0,63.825,-1.62,6.58,-8.34,2430.0,15252.4,相對強弱未轉強（弱於大盤）
2882,國泰金,C 過熱或排除,60.24,67.0,67.9,71.7,29.2,79.2,81.1,39.6,11.3,29,72,1.0,1.0,0.6,10,2.54,3.06,0.001916,0.001895,0,0.3135,7.53,11.01,-3.91,85.7,6110.9,相對強弱未轉強（弱於大盤）
6488,環球晶,C 過熱或排除,60.24,67.0,5.7,100.0,55.7,62.3,77.4,96.2,75.5,25,76,-14.0,-14.0,3.9,16,2.49,1.44,0.02269,0.018314,1,20.3141,41.56,75.0,60.08,1015.0,11347.5,近 5 日漲幅 41.6% > 25% — 漲過頭
2379,瑞昱,C 過熱或排除,56.89,64.2,81.1,54.7,32.1,64.2,60.4,28.3,47.2,40,61,3.0,3.0,0.1,11,1.96,1.75,0.012966,0.013505,0,3.5375,0.35,8.01,-6.91,580.0,4120.6,相對強弱未轉強（弱於大盤）
2449,京元電子,C 過熱或排除,55.38,62.3,39.6,49.1,81.1,69.8,73.6,32.1,49.1,11,90,-2.0,-2.0,-0.1,20,2.34,2.03,0.007344,0.007429,0,3.775,10.98,8.6,-6.32,328.5,22522.3,相對強弱未轉強（弱於大盤）
2408,南亞科,B 觀察中,55.09,60.4,34.0,47.2,81.1,54.7,47.2,92.5,56.6,5,96,-3.0,-3.0,-0.2,20,1.54,1.16,0.007757,0.007117,1,6.3975,11.76,61.02,46.1,347.0,48798.6,主流評分排前 40%（未完全達 A 級條件）
2344,華邦電,C 過熱或排除,54.72,58.5,39.6,31.1,81.1,58.5,56.6,98.1,43.4,7,94,-2.0,-2.0,-1.2,20,1.75,1.36,0.003532,0.002947,1,2.6167,26.4,75.95,61.03,158.0,39454.6,近 5 日漲幅 26.4% > 25% — 漲過頭
3034,聯詠,C 過熱或排除,54.15,56.6,48.1,62.3,55.7,50.9,54.7,54.7,54.7,41,60,-1.0,-1.0,0.2,16,1.64,0.86,0.010663,0.011287,1,5.3875,-1.75,16.63,1.71,477.0,3722.3,主流評分未進入全市場前 40%
3380,明泰,C 過熱或排除,53.63,54.7,76.4,79.2,9.4,47.2,52.8,47.2,3.8,59,42,2.0,2.0,0.8,5,1.62,0.74,0.000863,0.000795,0,0.094,13.03,14.88,-0.04,38.6,423.4,相對強弱未轉強（弱於大盤）
4906,正文,C 過熱或排除,51.27,52.8,48.1,54.7,20.8,56.6,71.7,86.8,17.0,43,58,-1.0,-1.0,0.1,6,2.32,1.29,0.001111,0.000955,1,0.7023,23.33,44.9,29.98,49.7,3215.8,主流評分未進入全市場前 40%
3008,大立光,C 過熱或排除,50.75,50.9,57.5,34.9,50.0,35.8,37.7,83.0,88.7,34,67,0.0,0.0,-1.0,15,1.26,0.3,0.078577,0.074275,1,54.9109,-0.71,39.76,24.85,3515.0,5165.5,主流評分未進入全市場前 40%
1301,台塑,C 過熱或排除,49.48,49.1,89.6,68.9,9.4,43.4,43.4,3.8,13.2,49,52,5.0,5.0,0.4,5,1.42,0.53,0.001061,0.001125,0,0.3445,4.86,-7.86,-22.78,47.45,2173.7,相對強弱未轉強（弱於大盤）
3037,欣興,C 過熱或排除,48.07,47.2,29.2,37.7,81.1,45.3,41.5,60.4,81.1,12,89,-4.0,-4.0,-0.7,20,1.37,0.54,0.023584,0.021765,1,34.6225,8.76,19.48,4.56,1055.0,22141.8,主流評分未進入全市場前 40%
2887,台新新光金,C 過熱或排除,47.31,45.3,57.5,41.5,20.8,81.1,75.5,13.2,9.4,35,66,0.0,0.0,-0.6,6,2.45,3.23,0.000522,0.000562,0,0.1575,-1.89,-1.89,-16.81,23.35,5110.7,相對強弱未轉強（弱於大盤）
8299,群聯,C 過熱或排除,45.0,43.4,39.6,26.4,81.1,18.9,20.8,79.2,96.2,16,85,-2.0,-2.0,-1.4,20,0.99,-0.02,0.057564,0.059083,1,64.3123,5.97,35.53,20.61,2575.0,16755.2,主流評分未進入全市場前 40%
2105,正新,C 過熱或排除,44.76,41.5,76.4,62.3,9.4,39.6,34.0,20.8,7.5,58,43,2.0,2.0,0.2,5,1.18,0.4,0.000724,0.00076,0,0.107,1.57,3.85,-11.07,32.4,453.8,相對強弱未轉強（弱於大盤）
3491,昇達科,C 過熱或排除,44.1,39.6,67.9,4.7,50.0,22.6,22.6,84.9,90.6,46,55,1.0,1.0,-4.4,15,1.01,0.02,0.049181,0.043479,1,60.01,13.99,41.94,27.02,2200.0,3011.8,主流評分未進入全市場前 40%
2603,長榮,C 過熱或排除,41.18,37.7,48.1,31.1,37.7,52.8,58.5,22.6,24.5,28,73,-1.0,-1.0,-1.2,13,1.86,1.16,0.004762,0.005011,0,1.13,-2.74,5.45,-9.47,213.0,6439.1,相對強弱未轉強（弱於大盤）
1503,士電,C 過熱或排除,40.47,35.8,1.9,89.6,9.4,49.1,69.8,49.1,28.3,53,48,-22.0,-22.0,2.0,5,2.13,0.84,0.004896,0.00476,1,1.4075,11.17,15.57,0.65,219.0,1356.3,主流評分未進入全市場前 40%
2368,金像電,C 過熱或排除,40.24,34.0,48.1,23.6,81.1,26.4,24.5,9.4,79.2,26,75,-1.0,-1.0,-1.9,20,1.05,0.13,0.029508,0.032525,0,33.615,-0.75,-5.04,-19.95,1320.0,8608.0,相對強弱未轉強（弱於大盤）
2451,創見,C 過熱或排除,35.8,32.1,17.9,45.3,43.4,20.8,18.9,77.4,60.4,48,53,-7.0,-7.0,-0.4,14,0.99,-0.02,0.007556,0.007575,1,7.13,6.79,33.86,18.95,338.0,2525.4,主流評分未進入全市場前 40%
6213,聯茂,C 過熱或排除,34.53,30.2,12.3,68.9,29.2,32.1,35.8,17.0,64.2,31,70,-9.0,-9.0,0.4,10,1.2,0.24,0.006002,0.006447,0,7.6325,2.48,-0.56,-15.47,268.5,5491.8,相對強弱未轉強（弱於大盤）
3006,晶豪科,C 過熱或排除,33.87,28.3,7.5,17.0,60.4,30.2,32.1,88.7,58.5,36,65,-12.0,-12.0,-2.5,19,1.16,0.23,0.00551,0.005319,1,6.9075,3.79,45.43,30.51,246.5,5068.1,主流評分未進入全市場前 40%
2049,上銀,C 過熱或排除,32.69,26.4,12.3,13.2,43.4,41.5,39.6,69.8,66.0,45,56,-9.0,-9.0,-2.6,14,1.32,0.49,0.008696,0.008697,1,8.7675,3.32,24.48,9.56,389.0,3089.3,主流評分未進入全市場前 40%
6206,飛捷,C 過熱或排除,32.41,24.5,29.2,41.5,9.4,24.5,26.4,71.7,37.7,61,40,-4.0,-4.0,-0.6,5,1.13,0.12,0.003074,0.00311,1,2.0655,-1.79,27.31,12.4,137.5,244.4,主流評分未進入全市場前 40%
8046,南電,C 過熱或排除,30.33,22.6,17.9,7.5,81.1,34.0,30.2,1.9,77.4,20,81,-7.0,-7.0,-3.1,20,1.14,0.28,0.018957,0.021096,0,30.445,-9.21,-15.62,-30.54,848.0,15176.2,相對強弱未轉強（弱於大盤）
3596,智易,C 過熱或排除,29.29,20.8,57.5,28.3,9.4,3.8,5.7,56.6,20.8,62,39,0.0,0.0,-1.3,5,0.59,-0.73,0.004192,0.004307,1,0.7487,-0.79,17.92,3.01,187.5,232.0,主流評分未進入全市場前 40%
3504,揚明光,C 過熱或排除,28.96,18.9,39.6,34.9,9.4,13.2,7.5,66.0,26.4,65,36,-2.0,-2.0,-1.0,5,0.6,-0.27,0.001739,0.001749,1,1.223,-6.71,22.91,7.99,77.8,77.5,主流評分未進入全市場前 40%
4576,大銀微系統,C 過熱或排除,28.73,17.0,29.2,9.4,20.8,28.3,28.3,62.3,62.3,55,46,-4.0,-4.0,-3.0,6,1.14,0.14,0.005958,0.006019,1,7.5475,1.91,20.05,5.13,266.5,1043.7,主流評分未進入全市場前 40%
